Repo,CommitHash,TimeStamp,TimeZone,Author,AuthorEmail,Domain,MergeToMaster
ThunderWeasel,e36aed512dce9fdffdeacdafa91bc477e99faf89,1537300810,-0700,John Nash,nash@proofpoint.com,proofpoint.com,1
ThunderWeasel,85570d7f27a06f69e6cd9f52b88d32cce7d58d41,1537300759,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,4c36d7dbbc8c48e5840fbe546f3d2591f9c56f76,1537300202,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,68850d164ee373f872f3a8e6a53088d3a56d87c8,1537290851,-0700,René Descartes,descartes@proofpoint.com,proofpoint.com,1
ThunderWeasel,376344463b4135400f5f2dec0194003f603b55fb,1537290505,-0600,Edsger Dijkstra,dijkstra@proofpoint.com,proofpoint.com,0
ThunderWeasel,54c80ce35bcec03906c48eb9252fa9a470947505,1537287422,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,37db305eb88877948d5289ea685ef3b7b7817407,1537287232,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,8452308eb1839e8a42457ab3212ac5f961e9da77,1537286927,-0700,Leonhard Euler,euler@proofpoint.com,proofpoint.com,1
ThunderWeasel,c9aeace89e4b73895ac3c5eccf894be67cb10329,1537283852,-0600,Leonhard Euler,euler@proofpoint.com,proofpoint.com,0
ThunderWeasel,360a47d7aaa6b5411c9a1b37747187481c4419fa,1537283653,-0700,Edsger Dijkstra,dijkstra@proofpoint.com,proofpoint.com,1
ThunderWeasel,6e05fc8c7435c9d77c10a0c2d5b7cd7792db3901,1537282711,-0700,Leonhard Euler,euler@proofpoint.com,proofpoint.com,1
ThunderWeasel,76d699e57a3f952be5ad86e0a3482e63409d6b64,1537219374,-0600,Leonhard Euler,euler@proofpoint.com,proofpoint.com,0
ThunderWeasel,884b6819cc974abac7989b41bf090190173e2a52,1537217416,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,13eae2b82165bb7cf75ccbd37646b173f1c29b96,1537215687,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,6eec54f19f373dce01b7a0f3b7e48c671add84ba,1537215609,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,81d89f8836b8ba4e25213a99985663065aefa6d0,1537215207,-0700,René Descartes,descartes@proofpoint.com,proofpoint.com,1
ThunderWeasel,091fb872a03fdc5253d5892b5b1ea80a017dc0d1,1537214360,-0600,Edsger Dijkstra,dijkstra@proofpoint.com,proofpoint.com,0
ThunderWeasel,a45293ae23c220e98490e5eabfe0c883e3eabf50,1537211342,-0600,Edsger Dijkstra,dijkstra@proofpoint.com,proofpoint.com,0
ThunderWeasel,b941931f93af493e339e2a9a724584714d611d7e,1537210109,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,b73a7e6b1d3dfbdffd5bc2446c1e71f97c615e9a,1537210075,-0400,John Nash,nash@proofpoint.com,proofpoint.com,0
ThunderWeasel,e41a222bb5fbf36ef18b10aa2f95810bcbf6aafd,1537208893,-0700,Leonhard Euler,euler@proofpoint.com,proofpoint.com,1
ThunderWeasel,172a1dcb9497c0c4cb839df55e844fd2497f8275,1537195042,-0700,John Nash,nash@proofpoint.com,proofpoint.com,1
